Product_ID,Product_Name,Category,Price,Stock_Available
1,Product_1,Clothing,121.34,348
2,Product_2,Electronics,104.49,591
3,Product_3,Electronics,126.17,368
4,Product_4,Books,44.7,309
5,Product_5,Books,162.85,816
6,Product_6,Books,142.8,948
7,Product_7,Books,-8.35,57
8,Product_8,Furniture,127.47,640
9,Product_9,Furniture,30.79,142
10,Product_10,Electronics,86.21,259
11,Product_11,Books,34.02,749
12,Product_12,Toys,145.21,737
13,Product_13,Clothing,-6.98,784
14,Product_14,Electronics,23.93,591
15,Product_15,Electronics,102.01,601
16,Product_16,Toys,68.44,716
17,Product_17,Clothing,196.82,211
18,Product_18,Clothing,135.51,19
19,Product_19,Electronics,121.37,310
20,Product_20,Furniture,43.89,813
21,Product_21,Clothing,147.59,249
22,Product_22,Toys,180.81,693
23,Product_23,Books,178.79,600
24,Product_24,Furniture,38.92,775
25,Product_25,Electronics,142.94,696
26,Product_26,Furniture,34.84,735
27,Product_27,Books,148.43,851
28,Product_28,Books,102.44,427
29,Product_29,Furniture,162.03,758
30,Product_30,Toys,192.12,239
31,Product_31,Electronics,186.41,796
32,Product_32,Books,44.83,215
33,Product_33,Furniture,40.45,277
34,Product_34,Toys,177.05,468
35,Product_35,Furniture,39.44,509
36,Product_36,Books,120.08,262
37,Product_37,Furniture,191.54,340
38,Product_38,Furniture,126.28,338
39,Product_39,Clothing,56.24,804
40,Product_40,Electronics,43.76,417
41,Product_41,Furniture,119.8,478
42,Product_42,Clothing,28.86,229
43,Product_43,Furniture,34.29,957
44,Product_44,Clothing,79.5,780
45,Product_45,Furniture,28.08,313
46,Product_46,Electronics,115.86,84
47,Product_47,Electronics,33.21,443
48,Product_48,Clothing,152.84,890
49,Product_49,Electronics,31.23,204
50,Product_50,Furniture,71.35,401
51,Product_51,Books,143.24,518
52,Product_52,Books,195.05,921
53,Product_53,Books,49.75,883
54,Product_54,Toys,15.04,794
55,Product_55,Clothing,143.92,482
56,Product_56,Furniture,170.09,588
57,Product_57,Toys,130.93,317
58,Product_58,Furniture,-2.02,705
59,Product_59,Furniture,13.92,534
60,Product_60,Furniture,101.13,484
61,Product_61,Books,158.76,828
62,Product_62,Books,54.97,913
63,Product_63,Clothing,83.74,845
64,Product_64,Electronics,106.71,351
65,Product_65,Books,104.63,706
66,Product_66,Furniture,125.81,39
67,Product_67,Books,38.81,696
68,Product_68,Toys,49.43,688
69,Product_69,Furniture,14.18,235
70,Product_70,Electronics,97.35,449
71,Product_71,Clothing,56.92,353
72,Product_72,Furniture,137.4,156
73,Product_73,Electronics,-5.15,803
74,Product_74,Electronics,139.38,682
75,Product_75,Books,197.65,313
76,Product_76,Furniture,146.02,519
77,Product_77,Electronics,186.55,622
78,Product_78,Electronics,124.77,145
79,Product_79,Toys,82.61,579
80,Product_80,Clothing,173.18,522
81,Product_81,Furniture,86.3,598
82,Product_82,Books,128.64,793
83,Product_83,Electronics,139.2,179
84,Product_84,Clothing,139.78,486
85,Product_85,Toys,76.79,491
86,Product_86,Clothing,156.54,730
87,Product_87,Toys,171.79,994
88,Product_88,Electronics,15.97,629
89,Product_89,Electronics,185.62,105
90,Product_90,Electronics,-9.09,744
91,Product_91,Clothing,29.54,133
92,Product_92,Electronics,122.27,880
93,Product_93,Furniture,67.67,550
94,Product_94,Furniture,106.11,619
95,Product_95,Clothing,53.86,345
96,Product_96,Electronics,-7.88,207
97,Product_97,Toys,91.25,365
98,Product_98,Furniture,135.29,569
99,Product_99,Electronics,8.7,31
100,Product_100,Clothing,120.84,804
101,Product_101,Clothing,112.91,312
102,Product_102,Electronics,117.55,787
103,Product_103,Electronics,-10.35,216
104,Product_104,Toys,92.71,573
105,Product_105,Electronics,2.74,683
106,Product_106,Books,75.24,925
107,Product_107,Electronics,168.02,610
108,Product_108,Clothing,-11.23,0
109,Product_109,Furniture,191.61,121
110,Product_110,Toys,101.71,83
111,Product_111,Clothing,73.59,770
112,Product_112,Electronics,33.7,407
113,Product_113,Books,127.93,620
114,Product_114,Furniture,172.41,245
115,Product_115,Books,169.94,945
116,Product_116,Books,3.13,714
117,Product_117,Clothing,73.42,213
118,Product_118,Electronics,63.43,966
119,Product_119,Books,64.34,161
120,Product_120,Books,122.47,259
121,Product_121,Furniture,48.59,942
122,Product_122,Electronics,146.03,336
123,Product_123,Clothing,10.88,897
124,Product_124,Toys,40.4,910
125,Product_125,Electronics,-2.21,849
126,Product_126,Furniture,128.15,902
127,Product_127,Clothing,29.96,139
128,Product_128,Toys,39.22,612
129,Product_129,Books,168.06,277
130,Product_130,Books,50.94,818
131,Product_131,Toys,36.77,879
132,Product_132,Clothing,147.14,665
133,Product_133,Electronics,-19.59,-6
134,Product_134,Electronics,-14.23,761
135,Product_135,Books,150.27,733
136,Product_136,Toys,174.37,96
137,Product_137,Clothing,83.8,192
138,Product_138,Toys,88.28,916
139,Product_139,Electronics,33.08,549
140,Product_140,Electronics,185.02,50
141,Product_141,Toys,98.25,85
142,Product_142,Electronics,163.31,938
143,Product_143,Books,178.48,735
144,Product_144,Toys,122.75,539
145,Product_145,Books,-18.4,446
146,Product_146,Clothing,85.49,415
147,Product_147,Electronics,135.28,60
148,Product_148,Books,81.1,476
149,Product_149,Books,194.8,453
150,Product_150,Toys,-7.12,684
151,Product_151,Toys,193.52,143
152,Product_152,Furniture,95.94,740
153,Product_153,Toys,105.03,917
154,Product_154,Toys,66.92,812
155,Product_155,Books,84.11,985
156,Product_156,Toys,166.72,862
157,Product_157,Toys,87.74,665
158,Product_158,Electronics,-5.89,310
159,Product_159,Books,60.85,385
160,Product_160,Electronics,82.28,222
161,Product_161,Toys,104.1,778
162,Product_162,Toys,95.85,226
163,Product_163,Books,138.59,690
164,Product_164,Clothing,96.66,-4
165,Product_165,Furniture,16.4,759
166,Product_166,Books,42.56,932
167,Product_167,Electronics,156.47,645
168,Product_168,Toys,113.55,624
169,Product_169,Electronics,199.9,204
170,Product_170,Electronics,23.3,27
171,Product_171,Furniture,110.97,730
172,Product_172,Toys,-4.38,918
173,Product_173,Clothing,117.19,180
174,Product_174,Books,116.75,261
175,Product_175,Toys,104.56,375
176,Product_176,Clothing,88.8,717
177,Product_177,Clothing,125.84,35
178,Product_178,Toys,38.36,757
179,Product_179,Clothing,71.86,848
180,Product_180,Clothing,12.16,385
181,Product_181,Toys,60.9,286
182,Product_182,Furniture,14.97,335
183,Product_183,Books,99.05,715
184,Product_184,Toys,66.51,711
185,Product_185,Books,41.01,650
186,Product_186,Toys,56.37,515
187,Product_187,Furniture,56.66,246
188,Product_188,Toys,128.36,347
189,Product_189,Toys,79.23,447
190,Product_190,Clothing,35.06,101
191,Product_191,Books,166.64,959
192,Product_192,Furniture,145.46,187
193,Product_193,Toys,160.87,63
194,Product_194,Furniture,196.05,192
195,Product_195,Books,82.72,485
196,Product_196,Furniture,55.06,256
197,Product_197,Clothing,23.63,720
198,Product_198,Electronics,109.74,915
199,Product_199,Books,57.75,763
200,Product_200,Toys,100.64,184
201,Product_201,Clothing,77.58,100
202,Product_202,Electronics,-15.75,212
203,Product_203,Clothing,7.79,297
204,Product_204,Electronics,61.49,687
205,Product_205,Books,62.76,779
