Transaction_ID,Customer_ID,Product_ID,Quantity,Transaction_Date,Total_Amount
1,168,813,3,2022-03-05,242.07
2,759,250,5,,-8.299999999999999
3,681,786,2,2022-12-29,185.06
4,230,291,1,2022-08-12,-16.51
5,551,774,8,2022-11-30,
6,953,249,9,2022-11-13,1241.0099999999998
7,654,317,5,2022-04-06,636.9
8,368,835,8,2022-10-18,1209.04
9,492,710,9,2022-02-26,1533.78
10,406,416,2,2022-08-12,-20.68
11,438,757,4,,437.04
12,166,456,9,,901.98
13,542,699,2,2022-01-17,379.7
14,49,115,7,2022-02-12,-65.10000000000001
15,904,298,1,2022-07-31,76.66
16,824,278,6,2022-08-27,772.98
17,393,550,7,2022-04-02,
18,621,938,2,2022-12-03,258.66
19,730,179,1,2022-07-07,6.62
20,306,858,7,2022-05-27,-16.87
21,691,706,8,2022-07-08,1139.28
22,96,984,2,2022-01-10,153.8
23,644,884,3,2022-01-01,-10.350000000000001
24,723,179,3,2022-07-16,-46.349999999999994
25,507,162,3,2022-10-30,142.62
26,17,360,6,2022-12-25,310.56
27,833,673,6,2022-03-01,840.78
28,506,222,7,2022-08-03,247.45000000000002
29,921,671,8,2022-11-02,968.96
30,8,38,10,2022-04-09,458.5
31,712,460,9,2022-02-05,1743.93
32,378,452,5,2022-02-10,258.95
33,513,546,4,2022-03-23,-22.4
34,671,93,6,2022-10-27,948.1200000000001
35,187,80,1,2022-07-10,1.84
36,61,739,1,2022-10-18,163.34
37,930,674,9,2022-01-28,666.09
38,527,358,8,2022-08-14,503.68
39,648,200,6,2022-10-13,460.86
40,557,515,3,2022-05-29,235.5
41,956,138,3,2022-03-21,296.43
42,130,378,3,2022-06-16,399.65999999999997
43,501,358,9,2022-12-09,1096.1100000000001
44,157,696,5,2022-03-21,764.75
45,66,521,5,2022-07-21,0.25
46,950,495,3,2022-12-16,80.13
47,129,598,5,2022-10-30,401.5
48,443,14,7,2022-06-06,652.26
49,40,332,5,2022-08-23,330.15
50,6,217,1,2022-10-06,36.25
51,952,683,5,2022-04-05,-0.44999999999999996
52,615,638,3,2022-04-09,449.46
53,189,991,4,2022-06-06,685.04
54,677,371,8,2022-08-31,978.56
55,269,228,3,2022-04-10,373.71
56,401,86,6,2022-03-26,770.58
57,677,930,8,2022-11-09,784.96
58,892,997,8,2022-01-12,114.72
59,753,606,2,2022-03-09,325.72
60,335,184,1,2022-12-10,126.51
61,507,460,7,2022-11-18,523.9499999999999
62,749,959,5,2022-11-10,82.44999999999999
63,896,988,6,2022-02-25,1131.1200000000001
64,385,316,5,2022-03-09,545.85
65,700,326,9,2022-06-10,513.4499999999999
66,981,235,9,2022-02-21,103.77
67,958,527,8,2022-05-18,-62.08
68,382,851,2,2022-08-19,195.6
69,553,51,1,2022-04-06,180.94
70,599,16,7,2022-09-30,548.73
71,726,234,4,2022-01-29,427.56
72,245,804,4,2022-06-07,170.24
73,39,112,2,2022-07-22,8.0
74,606,459,6,2022-06-26,346.08
75,797,314,8,2022-09-04,1537.44
76,842,103,10,2022-09-15,1075.5
77,275,538,6,2022-01-09,405.72
78,564,719,2,2022-12-18,90.86
79,687,782,8,2022-05-25,1520.48
80,588,159,10,2022-02-24,1413.4
81,378,840,8,2022-12-01,13.44
82,391,786,10,2022-01-29,1257.3999999999999
83,456,300,8,2022-06-23,324.32
84,837,881,3,2022-11-02,525.75
85,346,828,8,2022-01-29,560.08
86,739,610,9,2022-08-15,417.33
87,779,96,2,2022-09-06,35.2
88,969,432,5,2022-10-24,87.65
89,782,433,9,2022-09-29,1652.04
90,21,649,4,2022-02-01,746.0
91,848,484,1,2022-03-25,162.31
92,288,400,1,2022-01-15,-15.93
93,195,191,4,2022-04-13,426.12
94,212,709,3,2022-02-09,29.19
95,910,20,10,2022-05-15,1316.3
96,708,252,2,2022-10-26,254.3
97,730,656,5,2022-12-17,959.4
98,814,498,5,2022-05-23,150.29999999999998
